team1_rush_att,team1_rush_yds,team1_rush_tds,team1_pass_cmp,team1_pass_att,team1_pass_cmp_pct,team1_pass_yds,team1_pass_tds,team1_pass_int,team1_passer_rating,team1_net_pass_yds,team1_total_yds,team1_times_sacked,team1_yds_sacked_for,team1_fumbles,team1_fumbles_lost,team1_turnovers,team1_penalties,team1_penalty_yds,team1_first_downs,team1_third_down_conv,team1_third_down_att,team1_third_down_conv_pct,team1_fourth_down_conv,team1_fourth_down_att,team1_fourth_down_conv_pct,team1_time_of_possession,team2_rush_att,team2_rush_yds,team2_rush_tds,team2_pass_cmp,team2_pass_att,team2_pass_cmp_pct,team2_pass_yds,team2_pass_tds,team2_pass_int,team2_passer_rating,team2_net_pass_yds,team2_total_yds,team2_times_sacked,team2_yds_sacked_for,team2_fumbles,team2_fumbles_lost,team2_turnovers,team2_penalties,team2_penalty_yds,team2_first_downs,team2_third_down_conv,team2_third_down_att,team2_third_down_conv_pct,team2_fourth_down_conv,team2_fourth_down_att,team2_fourth_down_conv_pct,team2_time_of_possession,team1_win
15,46,0,26,45,0.5777777777777777,228,0,1,62.083,208,254,5,20,0,0,1,10,107,16,3,15,0.2,0,2,0.0,1737,22,47,0,18,30,0.6,203,1,0,91.389,166,213,5,37,1,0,0,10,71,13,2,12,0.167,0,0,0.0,1863,0
38,172,3,8,10,0.8,98,1,0,140.833,97,269,1,1,2,0,0,11,100,18,5,10,0.5,0,0,0.0,1787,17,73,0,33,46,0.717391304347826,304,2,2,85.779,272,345,4,32,1,1,3,9,78,27,2,8,0.25,2,2,1.0,1813,1
25,128,1,24,37,0.6486486486486487,254,1,2,71.227,242,370,1,12,2,2,4,7,55,23,5,10,0.5,0,1,0.0,1679,21,68,0,28,41,0.6829268292682927,175,1,0,84.909,155,223,4,20,2,1,1,8,67,17,7,17,0.412,1,2,0.5,1921,1
23,127,3,25,38,0.6578947368421053,239,0,1,72.149,216,343,3,23,2,2,3,6,46,21,5,11,0.455,0,0,0.0,1604,32,166,2,23,39,0.5897435897435898,186,1,1,68.964,183,349,1,3,1,0,1,5,43,22,9,17,0.529,0,0,0.0,1996,0
20,102,1,25,38,0.6578947368421053,285,1,3,64.035,244,346,5,41,0,0,3,18,182,19,1,10,0.1,0,2,0.0,1842,28,123,1,14,24,0.5833333333333334,248,3,0,133.333,216,339,4,32,0,0,0,6,54,21,2,10,0.2,0,0,0.0,1758,0
16,81,0,27,33,0.8181818181818182,350,3,1,128.535,347,428,1,3,1,1,2,10,71,18,5,10,0.5,0,0,0.0,1725,26,113,1,25,34,0.7352941176470589,378,3,0,139.093,378,491,0,0,0,0,0,5,55,24,5,10,0.5,0,0,0.0,1875,0
12,21,0,15,32,0.46875,190,1,2,50.26,179,200,3,11,1,1,3,9,64,12,3,10,0.3,0,0,0.0,1193,46,265,2,23,26,0.8846153846153846,379,6,0,158.333,378,643,1,1,0,0,0,4,40,31,7,11,0.636,2,2,1.0,2407,0
13,28,0,30,44,0.6818181818181818,380,3,0,117.614,370,398,1,10,0,0,0,12,96,15,5,13,0.385,2,2,1.0,1533,31,123,1,28,39,0.717948717948718,313,3,0,120.994,313,436,1,0,0,0,0,6,55,22,11,17,0.647,1,2,0.5,2067,0
14,34,0,35,51,0.6862745098039216,418,2,0,106.495,395,429,5,23,4,3,3,7,57,22,6,15,0.4,0,1,0.0,2150,25,72,1,14,20,0.7,195,2,0,134.375,160,232,4,35,1,1,1,8,55,12,4,12,0.333,0,0,0.0,1450,0
33,203,1,21,27,0.7777777777777778,190,2,0,120.679,173,376,2,17,1,0,0,3,10,22,7,13,0.538,1,1,1.0,1929,21,125,1,25,34,0.7352941176470589,333,3,1,121.324,310,435,4,23,2,1,2,3,20,25,7,11,0.636,0,0,0.0,1970,0
