team1_rush_att,team1_rush_yds,team1_rush_tds,team1_pass_cmp,team1_pass_att,team1_pass_cmp_pct,team1_pass_yds,team1_pass_tds,team1_pass_int,team1_passer_rating,team1_net_pass_yds,team1_total_yds,team1_times_sacked,team1_yds_sacked_for,team1_fumbles,team1_fumbles_lost,team1_turnovers,team1_penalties,team1_penalty_yds,team1_first_downs,team1_third_down_conv,team1_third_down_att,team1_third_down_conv_pct,team1_fourth_down_conv,team1_fourth_down_att,team1_fourth_down_conv_pct,team1_time_of_possession,team2_rush_att,team2_rush_yds,team2_rush_tds,team2_pass_cmp,team2_pass_att,team2_pass_cmp_pct,team2_pass_yds,team2_pass_tds,team2_pass_int,team2_passer_rating,team2_net_pass_yds,team2_total_yds,team2_times_sacked,team2_yds_sacked_for,team2_fumbles,team2_fumbles_lost,team2_turnovers,team2_penalties,team2_penalty_yds,team2_first_downs,team2_third_down_conv,team2_third_down_att,team2_third_down_conv_pct,team2_fourth_down_conv,team2_fourth_down_att,team2_fourth_down_conv_pct,team2_time_of_possession,team1_win
32,89,1,30,39,0.769,241,1,0,100.481,230,319,2,11,2,0,0,3,30,22,8,18,0.444,1,2,0.5,2250,16,81,0,20,37,0.541,272,1,1,75.507,255,336,4,17,2,2,3,8,95,16,3,11,0.273,2,2,1,1350,1
29,182,3,25,41,0.61,273,1,0,88.77,260,442,2,13,1,1,1,2,15,28,6,12,0.5,1,3,0.333,1668,33,155,3,20,31,0.645,267,1,1,89.046,258,413,2,9,0,0,1,3,20,23,6,12,0.5,0,1,0,1932,0
26,114,2,30,43,0.698,287,2,0,103.537,277,391,2,10,0,0,0,3,17,26,6,14,0.429,1,1,1,1920,15,89,0,26,41,0.634,349,3,2,94.461,319,408,4,30,0,0,2,5,33,23,4,12,0.333,1,1,1,1680,1
39,182,2,26,39,0.667,186,1,0,86.058,186,368,0,0,2,0,0,5,28,27,7,14,0.5,2,3,0.667,2223,24,146,1,17,23,0.739,215,2,0,131.612,215,361,0,0,2,1,1,2,15,21,1,5,0.2,0,0,0,1377,0
14,38,0,19,33,0.576,175,0,0,72.159,175,213,0,0,1,0,0,11,70,10,4,12,0.333,0,1,0,1345,42,229,2,16,22,0.727,152,2,0,121.78,123,352,3,29,0,0,0,3,15,22,4,12,0.333,2,2,1,2255,0
28,136,0,21,34,0.618,194,2,2,72.426,194,330,0,0,2,0,2,1,5,20,7,13,0.538,0,1,0,1819,24,111,2,23,39,0.59,252,1,0,86.699,245,356,1,7,0,0,0,6,83,19,10,16,0.625,0,0,0,1781,0
29,119,0,22,36,0.611,337,3,0,119.792,307,426,4,30,0,0,0,5,25,23,6,14,0.429,1,2,0.5,2043,15,42,0,25,35,0.714,250,1,0,100.893,234,276,3,16,2,0,0,6,54,13,0,9,0,0,2,0,1557,1
34,179,1,21,30,0.7,203,3,0,121.944,189,368,2,14,0,0,0,2,24,24,5,12,0.417,1,1,1,1999,23,106,0,22,39,0.564,229,2,1,79.968,218,324,1,11,2,1,2,6,50,22,5,11,0.455,0,1,0,1601,1
25,79,2,22,27,0.815,277,1,0,121.759,255,334,3,22,1,0,0,5,34,23,3,9,0.333,1,1,1,1795,17,68,0,25,36,0.694,367,2,0,120.949,357,425,2,10,1,0,0,4,36,22,3,9,0.333,1,1,1,1805,1
33,143,3,16,21,0.762,272,3,0,157.242,272,415,0,0,0,0,0,7,66,22,6,10,0.6,1,1,1,1735,25,123,1,41,60,0.683,403,3,2,89.792,387,510,4,16,0,0,2,6,48,37,10,16,0.625,0,2,0,1865,1
