team1_rush_att,team1_rush_yds,team1_rush_tds,team1_pass_cmp,team1_pass_att,team1_pass_cmp_pct,team1_pass_yds,team1_pass_tds,team1_pass_int,team1_passer_rating,team1_net_pass_yds,team1_total_yds,team1_times_sacked,team1_yds_sacked_for,team1_fumbles,team1_fumbles_lost,team1_turnovers,team1_penalties,team1_penalty_yds,team1_first_downs,team1_third_down_conv,team1_third_down_att,team1_third_down_conv_pct,team1_fourth_down_conv,team1_fourth_down_att,team1_fourth_down_conv_pct,team1_time_of_possession,team2_rush_att,team2_rush_yds,team2_rush_tds,team2_pass_cmp,team2_pass_att,team2_pass_cmp_pct,team2_pass_yds,team2_pass_tds,team2_pass_int,team2_passer_rating,team2_net_pass_yds,team2_total_yds,team2_times_sacked,team2_yds_sacked_for,team2_fumbles,team2_fumbles_lost,team2_turnovers,team2_penalties,team2_penalty_yds,team2_first_downs,team2_third_down_conv,team2_third_down_att,team2_third_down_conv_pct,team2_fourth_down_conv,team2_fourth_down_att,team2_fourth_down_conv_pct,team2_time_of_possession,team1_win
22,118,2,20,32,0.625,253,1,1,84.505,242,360,4,11,0,0,1,5,37,21,4,10,0.4,1,1,1.0,1513,34,166,1,24,32,0.75,211,3,0,123.307,203,369,1,8,0,0,0,1,5,28,7,13,0.538,1,1,1.0,2087,0
20,84,1,31,35,0.8857142857142857,322,4,0,143.095,299,383,3,23,1,0,0,6,46,22,3,9,0.333,1,1,1.0,1836,21,72,1,37,54,0.6851851851851852,450,2,1,98.534,434,506,2,16,1,1,2,6,72,28,7,14,0.5,0,4,0.0,1764,1
32,98,1,33,46,0.717391304347826,312,2,0,104.62,306,404,3,6,2,2,2,7,79,31,7,14,0.5,1,1,1.0,2477,15,52,1,21,35,0.6,215,1,1,75.298,202,254,3,13,1,1,2,9,95,15,4,11,0.364,0,0,0.0,1123,1
31,133,3,22,30,0.7333333333333333,239,1,0,107.5,239,372,0,0,1,0,0,3,40,23,6,11,0.545,0,0,0.0,1872,30,129,2,22,34,0.6470588235294118,269,1,0,98.775,259,388,1,10,0,0,0,5,65,22,7,13,0.538,1,2,0.5,1728,1
28,149,0,20,36,0.5555555555555556,242,3,0,104.167,214,363,1,28,1,0,0,6,48,26,2,11,0.182,1,2,0.5,1745,29,138,1,24,42,0.5714285714285714,297,1,1,77.183,288,426,1,9,0,0,1,8,77,25,6,16,0.375,0,0,0.0,1855,1
27,138,0,21,39,0.5384615384615384,189,1,1,65.011,168,306,2,21,3,2,3,8,80,20,3,12,0.25,0,3,0.0,1802,30,111,2,21,26,0.8076923076923077,284,3,0,150.641,270,381,2,14,2,1,1,7,66,23,6,11,0.545,0,0,0.0,1798,0
22,88,1,36,46,0.782608695652174,363,1,2,88.678,357,445,1,6,0,0,2,5,80,27,4,12,0.333,1,3,0.333,2003,23,91,0,19,20,0.95,173,3,0,142.292,150,241,4,23,0,0,0,6,61,17,5,10,0.5,0,0,0.0,1597,0
22,134,2,19,25,0.76,259,2,1,118.583,248,382,2,11,0,0,1,5,20,25,3,6,0.5,0,1,0.0,1124,32,158,1,32,44,0.7272727272727273,364,4,0,127.462,364,522,0,0,1,0,0,6,63,31,6,11,0.545,1,2,0.5,2476,0
42,217,3,15,19,0.7894736842105263,155,0,0,100.658,140,357,2,15,2,1,1,3,47,29,5,10,0.5,1,1,1.0,2089,27,87,1,20,30,0.6666666666666666,191,0,3,44.583,182,269,1,9,1,0,3,4,35,20,4,11,0.364,0,0,0.0,1511,1
36,80,2,17,31,0.5483870967741935,178,1,0,82.46,159,239,3,19,2,0,0,7,55,18,5,18,0.278,1,2,0.5,1761,17,57,0,24,42,0.5714285714285714,270,2,2,72.52,208,265,8,62,3,1,3,3,20,19,5,14,0.357,0,2,0.0,1839,1
28,122,1,23,36,0.6388888888888888,193,0,1,66.088,173,295,3,20,2,1,2,7,44,19,6,14,0.429,0,0,0.0,1790,39,155,1,16,30,0.5333333333333333,208,0,0,75.417,207,362,2,1,0,0,0,6,35,19,6,16,0.375,0,2,0.0,1810,0
36,180,2,26,40,0.65,230,1,1,78.125,224,404,2,6,2,0,1,9,102,29,7,14,0.5,0,0,0.0,1886,25,123,0,19,33,0.5757575757575758,259,2,0,102.967,243,366,3,16,0,0,0,5,53,18,2,11,0.182,0,2,0.0,1714,1
34,82,1,19,31,0.6129032258064516,198,2,0,101.277,189,271,1,9,0,0,0,6,119,18,5,15,0.333,0,1,0.0,1883,26,86,1,23,36,0.6388888888888888,239,2,2,78.356,224,310,3,15,2,1,3,9,103,23,5,13,0.385,1,1,1.0,1717,1
27,136,1,25,39,0.6410256410256411,266,1,0,92.468,244,380,3,22,0,0,0,7,50,24,3,12,0.25,1,3,0.333,1462,40,153,2,20,31,0.6451612903225806,275,0,1,79.368,269,422,1,6,0,0,1,5,34,23,9,17,0.529,1,1,1.0,2138,0
30,141,0,21,32,0.65625,229,3,0,117.839,208,349,2,21,3,1,1,3,21,19,8,15,0.533,1,1,1.0,1904,20,29,0,26,41,0.6341463414634146,279,2,2,79.217,262,291,3,17,0,0,2,4,25,20,8,15,0.533,1,1,1.0,1696,1
