team1_rush_att,team1_rush_yds,team1_rush_tds,team1_pass_cmp,team1_pass_att,team1_pass_cmp_pct,team1_pass_yds,team1_pass_tds,team1_pass_int,team1_passer_rating,team1_net_pass_yds,team1_total_yds,team1_times_sacked,team1_yds_sacked_for,team1_fumbles,team1_fumbles_lost,team1_turnovers,team1_penalties,team1_penalty_yds,team1_first_downs,team1_third_down_conv,team1_third_down_att,team1_third_down_conv_pct,team1_fourth_down_conv,team1_fourth_down_att,team1_fourth_down_conv_pct,team1_time_of_possession,team2_rush_att,team2_rush_yds,team2_rush_tds,team2_pass_cmp,team2_pass_att,team2_pass_cmp_pct,team2_pass_yds,team2_pass_tds,team2_pass_int,team2_passer_rating,team2_net_pass_yds,team2_total_yds,team2_times_sacked,team2_yds_sacked_for,team2_fumbles,team2_fumbles_lost,team2_turnovers,team2_penalties,team2_penalty_yds,team2_first_downs,team2_third_down_conv,team2_third_down_att,team2_third_down_conv_pct,team2_fourth_down_conv,team2_fourth_down_att,team2_fourth_down_conv_pct,team2_time_of_possession,team1_win
25,121,1,26,31,0.8387096774193549,297,3,2,111.962,292,413,2,5,2,2,4,5,35,23,9,10,0.9,0,0,0.0,1874,18,52,0,29,41,0.7073170731707317,240,1,3,63.059,191,243,7,49,1,0,3,4,30,19,6,13,0.462,2,3,0.667,1726,1
19,151,1,23,34,0.6764705882352942,269,2,0,111.029,234,385,4,35,1,1,1,8,99,18,4,13,0.308,0,0,0.0,1576,38,201,2,20,33,0.6060606060606061,215,0,0,79.735,215,416,0,0,3,2,2,8,55,26,5,13,0.385,0,0,0.0,2024,1
39,217,1,18,34,0.5294117647058824,147,1,0,74.02,138,355,1,9,1,0,0,9,71,23,8,18,0.444,1,2,0.5,2306,19,54,2,16,27,0.5925925925925926,235,1,1,84.645,207,261,4,28,5,0,1,8,96,15,4,11,0.364,0,0,0.0,1294,1
37,99,1,8,17,0.47058823529411764,121,2,1,85.662,105,204,2,16,0,0,1,3,24,15,5,14,0.357,0,0,0.0,1592,37,176,1,13,28,0.4642857142857143,164,0,1,50.298,155,331,2,9,2,1,2,12,99,17,8,17,0.471,0,2,0.0,2008,1
34,133,0,33,53,0.6226415094339622,338,2,4,61.675,299,432,7,39,2,1,5,4,27,32,8,16,0.5,1,3,0.333,2622,22,75,0,21,38,0.5526315789473685,194,1,0,78.18,192,267,1,2,1,0,0,8,59,13,4,15,0.267,0,0,0.0,1578,0
38,177,1,32,50,0.64,352,1,1,83.083,340,517,2,12,5,1,2,7,89,33,6,15,0.4,0,1,0.0,2377,28,77,0,23,37,0.6216216216216216,240,2,0,98.93,222,299,3,18,1,1,1,6,40,20,5,15,0.333,0,0,0.0,1823,0
28,181,3,21,37,0.5675675675675675,215,2,1,80.349,205,386,1,10,1,0,1,7,65,23,9,14,0.643,1,1,1.0,1706,39,216,4,18,32,0.5625,243,0,0,80.599,239,455,1,4,0,0,0,10,61,27,10,17,0.588,2,3,0.667,1894,0
28,85,0,27,41,0.6585365853658537,313,4,2,100.965,305,390,1,8,1,1,3,6,63,26,7,10,0.7,0,0,0.0,2013,18,123,1,24,42,0.5714285714285714,275,1,1,75.0,260,383,2,15,1,0,1,13,90,24,3,12,0.25,0,1,0.0,1587,1
22,78,0,21,30,0.7,213,1,1,87.222,193,271,2,20,2,2,3,3,15,17,4,9,0.444,0,1,0.0,1650,23,65,0,23,33,0.696969696969697,270,1,0,104.356,242,307,3,28,2,0,0,4,20,18,6,14,0.429,1,1,1.0,1950,0
17,83,0,37,59,0.6271186440677966,309,1,1,74.753,297,380,3,12,2,1,2,6,81,24,2,14,0.143,3,4,0.75,1950,21,63,0,17,30,0.5666666666666667,213,3,1,98.333,211,274,2,2,1,0,1,5,29,13,5,13,0.385,0,0,0.0,1650,0
22,103,1,24,38,0.631578947368421,205,2,0,94.737,179,282,3,26,3,0,0,5,49,18,3,12,0.25,3,4,0.75,1518,27,128,1,30,39,0.7692307692307693,360,5,0,144.231,360,488,0,0,5,1,1,3,25,33,5,8,0.625,1,1,1.0,2082,0
28,126,0,23,32,0.71875,277,2,0,118.88,269,395,1,8,0,0,0,3,20,19,4,13,0.308,1,1,1.0,1883,18,111,1,26,39,0.6666666666666666,260,0,1,74.733,227,338,4,33,1,1,2,2,10,21,3,9,0.333,0,2,0.0,1717,1
26,93,0,20,33,0.6060606060606061,266,2,0,106.376,266,359,1,0,2,1,1,7,50,19,3,11,0.273,0,0,0.0,1866,32,238,1,17,21,0.8095238095238095,188,2,1,115.873,156,394,5,32,2,1,2,8,45,19,2,10,0.2,1,1,1.0,1734,0
13,64,0,22,37,0.5945945945945946,295,2,3,69.088,256,320,6,39,3,0,3,3,11,18,5,11,0.455,1,2,0.5,1648,31,76,0,26,34,0.7647058823529411,279,3,0,129.412,279,355,0,0,1,0,0,5,21,18,6,14,0.429,0,1,0.0,1952,0
18,71,0,21,42,0.5,198,0,1,53.472,173,244,4,25,0,0,1,10,73,12,3,15,0.2,2,5,0.4,1638,33,152,0,18,27,0.6666666666666666,212,1,1,87.269,195,347,2,17,0,0,1,5,25,18,5,14,0.357,0,0,0.0,1962,0
19,76,0,23,28,0.8214285714285714,195,2,0,119.494,177,253,2,18,3,1,1,5,77,19,6,11,0.545,0,1,0.0,1581,20,103,0,29,42,0.6904761904761905,340,1,0,101.29,330,433,2,10,2,2,2,12,106,20,8,15,0.533,0,1,0.0,2019,1
24,75,0,33,48,0.6875,334,3,1,100.521,326,401,2,8,0,0,1,3,25,21,5,16,0.312,4,4,1.0,2017,18,93,0,24,35,0.6857142857142857,235,2,0,106.25,226,319,1,9,0,0,0,6,54,15,4,12,0.333,0,0,0.0,1583,0
23,146,0,14,29,0.4827586206896552,145,1,0,74.641,129,275,2,16,3,2,2,5,38,18,2,12,0.167,1,1,1.0,1435,33,103,0,22,34,0.6470588235294118,176,1,0,87.377,162,265,3,14,0,0,0,8,62,18,6,18,0.333,1,1,1.0,2165,0
37,184,3,22,27,0.8148148148148148,229,1,1,98.92,221,405,1,8,0,0,1,5,38,29,8,12,0.667,0,0,0.0,1934,20,93,0,27,45,0.6,324,4,0,111.713,309,402,2,15,2,1,1,8,57,20,8,15,0.533,1,1,1.0,1666,0
13,54,0,16,30,0.5333333333333333,195,0,3,34.028,164,218,5,31,2,0,3,5,30,9,2,10,0.2,0,2,0.0,1305,37,96,1,25,30,0.8333333333333334,235,2,0,121.528,235,331,0,0,0,0,0,3,19,21,6,15,0.4,2,3,0.667,2295,0
21,88,1,30,46,0.6521739130434783,337,3,1,99.638,308,396,5,29,1,0,1,2,17,21,7,15,0.467,1,2,0.5,1923,24,191,0,20,34,0.5882352941176471,256,4,0,121.691,234,425,3,22,0,0,0,1,5,17,4,13,0.308,0,2,0.0,1677,0
18,86,0,36,50,0.72,469,6,2,124.083,461,547,1,8,0,0,2,8,51,27,7,11,0.636,2,2,1.0,2087,25,155,1,21,29,0.7241379310344828,318,3,0,142.601,318,473,0,0,1,0,0,1,5,23,3,10,0.3,1,3,0.333,1513,1
