team1_rush_att,team1_rush_yds,team1_rush_tds,team1_pass_cmp,team1_pass_att,team1_pass_cmp_pct,team1_pass_tds,team1_passer_rating,team1_net_pass_yds,team1_total_yds,team1_times_sacked,team1_fumbles,team1_penalties,team1_penalty_yds,team1_first_downs,team1_third_down_conv,team1_third_down_att,team1_third_down_conv_pct,team1_fourth_down_conv,team1_fourth_down_att,team1_fourth_down_conv_pct,team1_time_of_possession,team2_rush_att,team2_rush_tds,team2_pass_cmp,team2_pass_att,team2_pass_cmp_pct,team2_pass_tds,team2_passer_rating,team2_times_sacked,team2_fumbles,team2_penalties,team2_penalty_yds,team2_first_downs,team2_third_down_conv,team2_third_down_att,team2_third_down_conv_pct,team2_fourth_down_conv,team2_fourth_down_att,team2_fourth_down_conv_pct,team2_time_of_possession,team1_win
27,170,2,22,35,0.629,2,95.417,284,454,0,0,9,71,27,4,8,0.5,0,0,0.0,1867,32,1,23,34,0.676,3,108.088,0,1,6,49,29,4,10,0.4,0,1,0.0,1920,1
20,102,0,22,35,0.629,2,68.988,244,346,2,3,6,35,18,5,12,0.417,1,2,0.5,1556,33,2,17,27,0.63,1,92.824,1,0,3,30,20,7,12,0.583,0,1,0.0,2044,0
31,192,2,24,31,0.774,2,120.228,239,431,0,0,2,19,22,8,13,0.615,0,0,0.0,1912,26,1,11,19,0.579,0,79.276,3,1,3,22,12,4,11,0.364,0,0,0.0,1688,1
25,99,0,22,36,0.611,1,76.042,180,279,6,2,6,47,21,8,16,0.5,0,2,0.0,2053,28,3,18,26,0.692,1,104.968,2,0,5,43,21,5,9,0.556,0,0,0.0,1547,0
14,19,0,20,32,0.625,1,92.188,203,222,1,1,4,25,13,5,11,0.455,0,0,0.0,1428,39,0,20,29,0.69,1,82.399,4,2,6,40,19,6,17,0.353,2,3,0.667,2172,1
25,90,0,19,31,0.613,3,106.116,237,327,2,2,2,20,18,7,12,0.583,0,0,0.0,1643,23,0,26,40,0.65,3,75.313,1,1,2,20,20,4,13,0.308,2,2,1.0,1957,1
20,55,1,25,42,0.595,1,80.952,202,257,2,1,3,35,15,5,15,0.333,0,1,0.0,1879,27,1,19,44,0.432,0,46.212,4,2,5,22,20,6,16,0.375,0,2,0.0,1721,1
20,86,0,22,34,0.647,2,92.279,136,222,0,1,3,30,12,6,13,0.462,0,1,0.0,1511,35,1,19,30,0.633,2,108.194,2,1,2,18,22,6,15,0.4,3,3,1.0,2089,0
32,143,0,15,25,0.6,1,93.917,161,304,1,1,2,15,16,4,13,0.308,0,1,0.0,1745,41,0,5,15,0.333,0,2.778,2,3,2,20,14,8,14,0.571,0,0,0.0,1855,0
22,118,1,13,27,0.481,1,46.373,141,259,1,0,2,20,13,2,9,0.222,0,3,0.0,1404,38,2,28,33,0.848,1,107.197,0,2,8,41,28,6,11,0.545,0,0,0.0,2196,0
22,134,0,19,29,0.655,2,83.98,173,307,7,1,9,65,18,5,12,0.417,1,2,0.5,1744,37,2,13,29,0.448,1,78.951,1,3,4,20,23,9,15,0.6,0,0,0.0,1856,0
