team1_rush_att,team1_rush_yds,team1_rush_tds,team1_pass_cmp,team1_pass_att,team1_pass_cmp_pct,team1_pass_yds,team1_pass_tds,team1_pass_int,team1_passer_rating,team1_net_pass_yds,team1_total_yds,team1_times_sacked,team1_yds_sacked_for,team1_fumbles,team1_fumbles_lost,team1_turnovers,team1_penalties,team1_penalty_yds,team1_first_downs,team1_third_down_conv,team1_third_down_att,team1_third_down_conv_pct,team1_fourth_down_conv,team1_fourth_down_att,team1_fourth_down_conv_pct,team1_time_of_possession,team2_rush_att,team2_rush_yds,team2_rush_tds,team2_pass_cmp,team2_pass_att,team2_pass_cmp_pct,team2_pass_yds,team2_pass_tds,team2_pass_int,team2_passer_rating,team2_net_pass_yds,team2_total_yds,team2_times_sacked,team2_yds_sacked_for,team2_fumbles,team2_fumbles_lost,team2_turnovers,team2_penalties,team2_penalty_yds,team2_first_downs,team2_third_down_conv,team2_third_down_att,team2_third_down_conv_pct,team2_fourth_down_conv,team2_fourth_down_att,team2_fourth_down_conv_pct,team2_time_of_possession,team1_win
29,174,2,21,25,0.84,308,5,0,157.583,308,482,0,0,0,0,0,3,47,29,6,7,0.857,0,0,0.0,1885,20,89,0,24,38,0.631578947368421,232,2,2,75.768,216,305,3,16,0,0,2,5,34,20,7,14,0.5,4,4,1.0,1715,1
31,106,2,29,37,0.7837837837837838,271,2,0,115.203,243,349,4,28,0,0,0,4,35,23,4,13,0.308,0,1,0.0,1983,17,95,1,23,43,0.5348837209302325,258,1,2,60.029,244,339,2,14,3,1,3,4,45,14,5,14,0.357,1,3,0.333,1617,1
38,169,2,16,25,0.64,172,0,1,67.417,172,341,0,0,0,0,1,9,58,21,6,13,0.462,0,0,0.0,2039,21,77,1,24,44,0.5454545454545454,270,1,1,71.212,230,307,5,40,2,0,1,14,89,20,5,14,0.357,1,2,0.5,1561,1
20,56,0,29,44,0.6590909090909091,215,2,0,92.519,201,257,2,14,2,1,1,4,45,19,7,16,0.438,2,2,1.0,1800,22,106,0,31,40,0.775,406,6,1,138.125,372,478,3,34,2,1,2,3,25,26,8,12,0.667,0,0,0.0,1800,0
18,61,1,19,34,0.5588235294117647,137,0,2,40.931,122,183,2,15,1,0,2,7,50,14,0,9,0.0,1,2,0.5,1454,38,140,1,14,18,0.7777777777777778,242,2,0,155.787,235,375,1,7,0,0,0,6,48,16,6,13,0.462,0,0,0.0,2146,0
18,65,1,28,37,0.7567567567567568,348,0,1,93.074,280,345,9,68,0,0,1,6,46,17,7,15,0.467,0,0,0.0,2005,27,140,1,15,24,0.625,220,1,3,66.667,213,353,1,7,0,0,3,2,15,16,1,8,0.125,0,1,0.0,1595,1
20,67,1,20,29,0.6896551724137931,225,0,0,91.882,196,263,5,29,2,1,1,5,25,14,5,12,0.417,0,0,0.0,1836,29,106,0,11,19,0.5789473684210527,131,0,1,57.127,106,212,4,25,0,0,1,5,40,12,4,11,0.364,0,1,0.0,1764,0
14,51,2,30,54,0.5555555555555556,329,1,1,72.222,308,359,3,21,1,1,2,4,61,20,3,14,0.214,2,4,0.5,1552,30,73,1,28,38,0.7368421052631579,366,2,0,121.162,355,428,2,11,4,4,4,4,45,24,4,11,0.364,0,0,0.0,2048,0
24,109,1,27,37,0.7297297297297297,329,4,0,135.98,313,422,2,16,1,0,0,3,15,23,6,14,0.429,4,4,1.0,1657,27,182,2,33,44,0.75,378,3,0,123.106,370,552,2,8,1,0,0,1,10,30,8,13,0.615,1,1,1.0,2198,0
27,116,0,23,38,0.6052631578947368,250,2,1,86.513,243,359,1,7,0,0,1,4,30,21,8,14,0.571,0,0,0.0,2156,24,139,0,26,39,0.6666666666666666,275,3,2,91.293,236,375,4,39,2,0,2,2,11,24,6,12,0.5,0,0,0.0,1782,1
20,50,0,16,30,0.5333333333333333,232,2,1,87.083,232,282,0,0,0,0,1,6,54,16,3,9,0.333,0,0,0.0,1461,29,70,0,31,45,0.6888888888888889,337,2,1,96.25,326,396,2,11,0,0,1,2,10,25,11,18,0.611,0,1,0.0,2139,0
20,79,0,23,34,0.6764705882352942,269,2,0,111.029,226,305,7,43,0,0,0,4,31,15,3,14,0.214,1,3,0.333,1753,23,43,0,26,41,0.6341463414634146,283,3,2,87.754,270,313,2,13,0,0,2,2,10,17,6,15,0.4,1,1,1.0,1847,0
