team1_rush_att,team1_rush_yds,team1_rush_tds,team1_pass_cmp,team1_pass_att,team1_pass_cmp_pct,team1_pass_tds,team1_passer_rating,team1_net_pass_yds,team1_total_yds,team1_times_sacked,team1_fumbles,team1_penalties,team1_penalty_yds,team1_first_downs,team1_third_down_conv,team1_third_down_att,team1_third_down_conv_pct,team1_fourth_down_conv,team1_fourth_down_att,team1_fourth_down_conv_pct,team1_time_of_possession,team2_rush_att,team2_rush_tds,team2_pass_cmp,team2_pass_att,team2_pass_cmp_pct,team2_pass_tds,team2_passer_rating,team2_times_sacked,team2_fumbles,team2_penalties,team2_penalty_yds,team2_first_downs,team2_third_down_conv,team2_third_down_att,team2_third_down_conv_pct,team2_fourth_down_conv,team2_fourth_down_att,team2_fourth_down_conv_pct,team2_time_of_possession,team1_win
18,60,0,42,58,0.724,3,101.437,391,451,1,1,8,55,30,9,17,0.529,0,0,0.0,2067,14,0,32,50,0.64,4,97.0,0,2,11,106,24,5,11,0.455,0,0,0.0,1533,0
31,173,1,27,35,0.771,3,126.369,261,434,1,2,14,89,24,6,13,0.462,0,2,0.0,1862,26,0,21,35,0.6,0,71.607,3,1,12,99,19,3,14,0.214,1,3,0.333,1738,1
25,117,0,30,51,0.588,1,79.698,254,371,3,4,8,81,22,8,18,0.444,1,3,0.333,1997,21,0,18,32,0.562,1,83.854,2,1,5,32,16,4,12,0.333,0,0,0.0,1603,0
27,111,1,24,35,0.686,1,101.964,270,381,1,1,6,38,18,4,14,0.286,0,1,0.0,1880,17,0,20,37,0.541,2,82.939,6,1,5,30,16,4,13,0.308,1,2,0.5,1720,1
36,149,1,20,27,0.741,2,128.781,217,366,5,0,3,15,20,3,14,0.214,2,3,0.667,2091,22,1,37,50,0.74,2,107.25,3,1,12,116,24,6,16,0.375,2,2,1.0,2109,1
27,140,0,18,23,0.783,4,152.264,241,381,3,1,7,53,18,4,9,0.444,0,0,0.0,1453,30,0,25,38,0.658,2,101.974,3,1,2,16,23,5,13,0.385,0,3,0.0,2147,1
33,136,1,21,32,0.656,4,120.964,280,416,2,1,8,59,22,7,13,0.538,0,0,0.0,2001,22,1,22,36,0.611,1,75.926,6,2,7,57,17,5,14,0.357,1,3,0.333,1599,1
24,116,1,38,57,0.667,3,92.58,314,430,3,0,5,45,31,4,15,0.267,2,5,0.4,2007,28,2,18,26,0.692,2,136.538,1,2,7,79,21,3,9,0.333,0,0,0.0,1593,0
16,76,0,28,51,0.549,3,70.057,319,395,1,1,10,82,20,3,11,0.273,1,1,1.0,1496,41,2,21,33,0.636,2,112.058,1,1,5,50,22,12,21,0.571,0,0,0.0,2104,0
27,126,0,14,21,0.667,1,100.298,133,259,1,3,8,57,15,3,10,0.3,1,1,1.0,1437,29,1,31,47,0.66,1,85.151,2,2,6,94,27,14,19,0.737,0,0,0.0,2163,0
26,153,4,21,28,0.75,0,97.47,304,457,2,2,5,30,24,2,7,0.286,3,4,0.75,1633,23,1,27,36,0.75,3,131.366,2,0,5,36,21,9,13,0.692,0,0,0.0,1967,0
28,165,1,28,36,0.778,2,115.741,255,420,2,1,5,51,24,7,15,0.467,3,3,1.0,2108,20,1,22,37,0.595,1,90.709,2,1,4,48,19,6,12,0.5,1,3,0.333,1492,1
