team1_rush_att,team1_rush_yds,team1_rush_tds,team1_pass_cmp,team1_pass_att,team1_pass_cmp_pct,team1_pass_yds,team1_pass_tds,team1_pass_int,team1_passer_rating,team1_net_pass_yds,team1_total_yds,team1_times_sacked,team1_yds_sacked_for,team1_fumbles,team1_fumbles_lost,team1_turnovers,team1_penalties,team1_penalty_yds,team1_first_downs,team1_third_down_conv,team1_third_down_att,team1_third_down_conv_pct,team1_fourth_down_conv,team1_fourth_down_att,team1_fourth_down_conv_pct,team1_time_of_possession,team2_rush_att,team2_rush_yds,team2_rush_tds,team2_pass_cmp,team2_pass_att,team2_pass_cmp_pct,team2_pass_yds,team2_pass_tds,team2_pass_int,team2_passer_rating,team2_net_pass_yds,team2_total_yds,team2_times_sacked,team2_yds_sacked_for,team2_fumbles,team2_fumbles_lost,team2_turnovers,team2_penalties,team2_penalty_yds,team2_first_downs,team2_third_down_conv,team2_third_down_att,team2_third_down_conv_pct,team2_fourth_down_conv,team2_fourth_down_att,team2_fourth_down_conv_pct,team2_time_of_possession,team1_win
27,113,2,20,35,0.5714285714285714,132,0,1,53.512,119,232,2,13,2,1,2,11,101,18,8,16,0.5,0,0,0.0,1930,18,74,1,21,43,0.4883720930232558,251,0,1,57.413,225,299,4,26,1,0,1,15,135,16,4,15,0.267,0,1,0.0,1670,1
22,83,0,11,33,0.3333333333333333,98,0,2,17.109,70,153,6,28,1,0,2,10,100,10,2,15,0.133,0,1,0.0,1486,34,117,3,26,38,0.6842105263157895,260,3,0,113.925,252,369,2,8,4,1,1,9,78,26,6,14,0.429,0,0,0.0,2114,0
20,101,1,21,28,0.75,243,2,1,109.673,229,330,2,14,2,1,2,8,94,19,4,8,0.5,0,0,0.0,1632,22,75,0,39,53,0.7358490566037735,319,2,1,93.2,305,380,2,14,1,1,2,7,91,24,11,17,0.647,0,0,0.0,1968,1
38,177,2,15,40,0.375,197,1,1,51.771,150,327,7,47,1,0,1,11,87,22,5,18,0.278,0,1,0.0,2088,35,159,2,23,41,0.5609756097560976,335,1,3,60.518,313,472,4,22,3,3,6,12,116,25,7,15,0.467,0,0,0.0,2112,0
34,167,1,17,34,0.5,176,1,1,62.868,158,325,3,18,1,1,2,6,44,21,2,11,0.182,0,1,0.0,1730,31,122,0,26,39,0.6666666666666666,277,3,1,102.19,267,389,2,10,3,2,3,6,36,23,4,14,0.286,1,1,1.0,1870,0
28,137,0,18,33,0.5454545454545454,176,1,1,67.235,168,305,1,8,0,0,1,11,119,17,4,13,0.308,0,0,0.0,1771,23,114,1,23,37,0.6216216216216216,224,0,1,67.849,210,324,2,14,1,1,2,6,43,15,4,13,0.308,0,2,0.0,1829,1
29,116,1,20,38,0.5263157894736842,220,0,3,37.171,220,336,0,0,0,0,3,5,48,19,6,14,0.429,0,2,0.0,1775,29,120,0,20,28,0.7142857142857143,230,2,2,89.881,222,342,1,8,0,0,2,7,51,18,2,10,0.2,0,1,0.0,1825,0
32,116,0,20,36,0.5555555555555556,244,2,0,95.139,227,343,3,17,1,1,1,7,52,19,7,17,0.412,0,1,0.0,1869,25,90,0,15,33,0.45454545454545453,261,1,3,45.139,237,327,3,24,3,1,4,3,21,20,5,13,0.385,0,0,0.0,1731,1
13,43,2,37,45,0.8222222222222222,439,3,0,129.537,432,475,1,7,2,2,2,8,77,26,4,9,0.444,1,1,1.0,1671,34,112,1,21,28,0.75,417,4,0,156.25,417,529,0,0,1,0,0,7,70,26,8,13,0.615,0,0,0.0,1929,0
22,123,0,34,51,0.6666666666666666,424,3,1,103.717,418,541,1,6,2,1,2,7,45,33,3,11,0.273,1,1,1.0,2066,27,106,0,15,27,0.5555555555555556,256,4,0,127.469,256,362,1,0,0,0,0,6,50,19,4,10,0.4,0,0,0.0,1534,0
22,94,1,19,29,0.6551724137931034,170,0,0,81.106,138,232,6,32,1,1,1,10,85,17,2,11,0.182,0,1,0.0,1764,32,147,2,17,26,0.6538461538461539,161,0,0,82.372,146,293,3,15,2,1,1,9,80,20,4,12,0.333,0,0,0.0,1836,0
42,182,1,21,30,0.7,255,2,0,118.056,247,429,3,8,3,1,1,9,63,30,6,13,0.462,1,1,1.0,2288,15,68,1,20,34,0.5882352941176471,153,0,1,57.598,145,213,2,8,1,1,2,9,67,14,1,8,0.125,0,1,0.0,1312,1
16,64,0,19,33,0.5757575757575758,298,3,2,92.74,242,306,6,56,3,1,3,7,45,13,2,12,0.167,0,0,0.0,1492,32,146,0,25,39,0.6410256410256411,329,3,3,84.241,324,470,1,5,0,0,3,7,60,25,4,12,0.333,0,0,0.0,2108,0
27,139,1,23,35,0.6571428571428571,171,0,0,77.202,155,294,4,16,2,1,1,5,35,18,7,17,0.412,0,2,0.0,2002,18,69,0,24,37,0.6486486486486487,341,3,1,110.304,301,370,4,40,2,1,2,8,72,16,5,13,0.385,0,1,0.0,1598,0
15,39,0,29,52,0.5576923076923077,300,1,5,39.423,300,339,0,0,0,0,5,3,15,20,3,13,0.231,0,2,0.0,1613,36,169,2,16,21,0.7619047619047619,198,2,1,116.766,180,349,2,18,1,1,2,7,49,18,6,14,0.429,2,3,0.667,1987,0
23,95,1,29,40,0.725,303,0,3,62.812,300,395,1,3,0,0,3,11,155,20,5,11,0.455,0,0,0.0,1891,26,140,0,18,33,0.5454545454545454,233,2,0,97.159,225,365,1,8,1,0,0,8,70,23,4,11,0.364,0,0,0.0,1709,0
28,108,0,24,42,0.5714285714285714,265,4,0,107.738,265,373,0,0,1,0,0,9,92,24,5,13,0.385,0,0,0.0,1910,22,66,1,32,55,0.5818181818181818,376,2,2,76.023,359,425,4,17,2,1,3,7,51,28,7,16,0.438,2,4,0.5,1690,1
18,121,0,32,45,0.7111111111111111,335,3,1,105.324,318,439,2,17,0,0,1,7,49,27,5,11,0.455,1,1,1.0,1818,32,170,2,23,28,0.8214285714285714,272,2,1,116.071,272,442,0,0,3,0,1,2,26,23,6,11,0.545,0,0,0.0,1782,0
22,84,1,18,33,0.5454545454545454,245,1,2,63.321,209,293,5,36,1,0,2,6,31,17,5,14,0.357,0,0,0.0,1618,26,109,1,23,27,0.8518518518518519,256,3,0,143.21,240,349,2,16,2,0,0,6,45,21,3,9,0.333,0,0,0.0,1982,0
23,62,0,28,35,0.8,243,2,0,114.643,213,275,3,30,2,2,2,4,53,18,3,12,0.25,0,0,0.0,1961,27,93,1,22,30,0.7333333333333333,246,1,1,94.583,234,327,3,12,3,0,1,4,43,16,4,12,0.333,1,2,0.5,1639,1
22,65,0,33,46,0.717391304347826,292,0,0,88.315,269,334,3,23,2,1,1,7,90,20,5,15,0.333,1,2,0.5,2000,28,104,1,21,31,0.6774193548387096,179,2,2,77.218,177,281,1,2,1,0,2,6,26,17,9,16,0.562,0,0,0.0,1600,0
18,68,0,35,48,0.7291666666666666,425,4,1,118.837,412,480,2,13,0,0,1,8,70,24,7,14,0.5,0,0,0.0,1912,24,98,0,30,42,0.7142857142857143,281,1,0,97.421,253,351,4,28,2,0,0,7,54,24,4,13,0.308,0,0,0.0,2288,1
26,148,0,22,32,0.6875,310,2,1,107.552,289,437,4,21,2,0,1,11,88,21,5,11,0.455,0,0,0.0,1778,34,100,0,15,22,0.6818181818181818,191,2,0,125.379,183,283,1,8,1,0,0,8,70,15,5,15,0.333,2,2,1.0,1822,0
13,33,2,39,60,0.65,452,3,0,104.306,442,475,1,10,1,0,0,12,90,33,3,11,0.273,2,2,1.0,1931,25,127,0,23,28,0.8214285714285714,326,6,0,154.762,322,449,1,4,3,1,1,12,76,24,2,5,0.4,0,0,0.0,1669,0
19,42,0,25,41,0.6097560975609756,334,1,2,74.644,320,362,3,14,4,1,3,7,50,21,3,10,0.3,0,0,0.0,1895,31,135,1,17,23,0.7391304347826086,168,2,0,123.098,122,257,4,46,3,2,2,2,10,18,6,13,0.462,0,0,0.0,1705,0
23,43,0,27,33,0.8181818181818182,402,4,1,144.381,393,436,2,9,1,1,2,4,44,18,4,10,0.4,0,0,0.0,1461,24,91,2,35,48,0.7291666666666666,334,1,0,98.785,321,412,3,13,2,2,2,6,55,24,5,15,0.333,3,5,0.6,2139,1
15,54,0,17,27,0.6296296296296297,90,0,1,53.009,83,137,1,7,0,0,1,9,47,5,3,12,0.25,1,1,1.0,1552,33,90,3,24,32,0.75,354,1,1,108.073,342,432,2,12,0,0,1,5,49,24,8,15,0.533,1,3,0.333,2048,0
18,98,0,34,53,0.6415094339622641,347,3,0,101.69,329,427,2,18,1,1,1,10,105,25,7,16,0.438,0,1,0.0,1826,28,190,1,18,26,0.6923076923076923,206,2,0,118.429,156,346,6,50,1,0,0,9,86,23,3,11,0.273,0,0,0.0,1774,0
28,168,2,19,35,0.5428571428571428,222,0,1,61.845,217,385,1,5,0,0,1,6,35,20,8,16,0.5,1,1,1.0,1624,27,92,1,29,32,0.90625,288,1,0,114.583,281,373,1,7,0,0,0,4,30,21,3,10,0.3,0,1,0.0,1976,1
24,104,0,29,45,0.6444444444444445,376,4,1,110.972,376,480,0,0,2,1,2,7,71,27,10,14,0.714,0,0,0.0,1846,24,82,0,24,35,0.6857142857142857,234,2,0,106.131,220,302,2,14,1,1,1,2,25,18,4,12,0.333,0,0,0.0,1754,1
25,138,1,16,25,0.64,160,1,0,95.417,160,298,0,0,1,0,0,6,47,16,3,10,0.3,1,1,1.0,1668,17,35,0,33,44,0.75,279,1,0,98.58,220,255,6,59,1,1,1,3,24,17,8,17,0.471,2,2,1.0,1932,1
27,86,0,25,34,0.7352941176470589,200,2,2,82.966,185,271,2,15,0,0,2,7,55,20,5,12,0.417,1,1,1.0,2064,22,74,0,22,36,0.6111111111111112,226,2,1,86.111,202,276,6,24,3,1,2,5,37,17,5,13,0.385,0,0,0.0,1536,1
33,133,2,21,37,0.5675675675675675,220,0,0,74.155,190,323,4,30,2,0,0,5,41,20,7,18,0.389,0,0,0.0,1852,30,107,2,15,31,0.4838709677419355,169,0,2,38.239,161,268,2,8,2,1,3,6,55,14,6,15,0.4,1,1,1.0,1748,1
27,143,2,39,49,0.7959183673469388,396,3,0,120.748,391,534,1,5,1,0,0,11,120,32,7,14,0.5,1,1,1.0,2265,22,48,0,26,35,0.7428571428571429,374,5,0,148.095,359,407,3,15,0,0,0,5,54,24,4,11,0.364,0,0,0.0,1760,1
38,128,2,15,22,0.6818181818181818,196,1,0,111.174,164,292,3,32,3,0,0,12,84,16,4,13,0.308,1,1,1.0,2145,6,14,0,40,55,0.7272727272727273,296,1,1,83.598,278,292,4,18,4,2,3,6,59,21,5,14,0.357,0,1,0.0,1455,1
13,66,1,29,46,0.6304347826086957,352,2,4,64.764,330,396,2,22,0,0,4,4,36,25,4,10,0.4,0,0,0.0,1565,41,230,2,15,24,0.625,150,2,0,107.986,147,377,1,3,1,0,0,3,17,23,6,13,0.462,0,1,0.0,2035,0
13,68,0,25,41,0.6097560975609756,164,1,0,77.693,141,209,2,23,0,0,0,11,77,14,2,12,0.167,1,2,0.5,1188,35,152,1,25,37,0.6756756756756757,255,1,1,84.854,227,379,5,28,4,1,2,10,110,26,6,14,0.429,0,0,0.0,2412,0
24,120,2,22,34,0.6470588235294118,192,0,1,67.279,173,293,3,19,1,0,1,13,120,18,6,14,0.429,0,1,0.0,1786,28,77,2,25,40,0.625,277,1,0,91.354,265,342,2,12,1,0,0,7,52,20,8,16,0.5,0,0,0.0,1814,0
35,166,2,12,20,0.6,220,2,1,110.417,220,386,0,0,0,0,1,6,66,20,5,11,0.455,0,0,0.0,1745,17,100,0,27,45,0.6,265,2,0,91.435,240,340,4,25,2,1,1,11,115,19,6,14,0.429,0,2,0.0,1855,1
19,59,0,24,40,0.6,385,2,1,98.438,368,427,3,17,1,1,2,7,50,21,5,12,0.417,2,2,1.0,1470,27,114,1,25,29,0.8620689655172413,297,2,0,132.328,265,379,4,32,2,0,0,3,20,21,7,13,0.538,0,0,0.0,2130,0
19,87,0,21,34,0.6176470588235294,155,0,0,72.549,145,232,3,10,2,1,1,8,75,12,5,14,0.357,0,1,0.0,1633,35,150,0,13,21,0.6190476190476191,108,0,0,75.099,83,233,3,25,0,0,0,4,30,15,5,15,0.333,0,0,0.0,1967,0
29,178,1,20,30,0.6666666666666666,251,2,0,114.722,228,406,4,23,3,0,0,14,147,26,2,9,0.222,2,2,1.0,1799,28,77,2,24,38,0.631578947368421,314,3,0,115.461,307,384,2,7,2,0,0,6,48,31,7,11,0.636,1,1,1.0,1801,0
32,109,1,27,39,0.6923076923076923,345,1,2,83.814,325,434,3,20,1,0,2,8,38,25,7,13,0.538,0,1,0.0,2311,14,41,0,18,24,0.75,341,4,0,156.25,332,373,1,9,0,0,0,9,74,13,2,8,0.25,0,0,0.0,1289,0
20,141,1,18,30,0.6,226,2,0,105.694,215,356,2,11,2,2,2,4,30,16,7,13,0.538,1,2,0.5,1544,35,171,1,29,36,0.8055555555555556,354,3,1,123.843,350,521,1,4,1,1,2,6,64,33,8,11,0.727,0,0,0.0,2056,0
31,122,1,24,35,0.6857142857142857,220,0,1,73.512,194,316,3,26,1,1,2,7,45,21,5,14,0.357,1,1,1.0,2181,18,53,0,17,26,0.6538461538461539,193,2,3,73.558,168,221,4,25,2,1,4,6,43,13,3,10,0.3,0,1,0.0,1419,1
39,113,1,16,26,0.6153846153846154,192,2,0,109.776,182,295,2,10,1,0,0,10,67,18,7,16,0.438,0,0,0.0,1964,19,166,0,19,34,0.5588235294117647,168,1,2,54.534,137,303,5,31,1,1,3,7,55,17,3,13,0.231,1,2,0.5,1636,1
33,159,0,27,36,0.75,262,2,1,101.852,255,414,1,7,1,0,1,6,70,25,7,14,0.5,0,0,0.0,2355,19,89,0,14,26,0.5384615384615384,133,1,1,65.064,120,209,2,13,0,0,1,5,38,12,2,9,0.222,0,1,0.0,1245,1
16,63,0,30,50,0.6,411,3,3,81.333,392,455,3,19,1,1,4,9,80,28,3,9,0.333,1,1,1.0,1779,22,78,0,30,38,0.7894736842105263,353,3,1,120.724,335,413,3,18,1,0,1,13,155,22,3,11,0.273,0,0,0.0,1821,0
17,54,0,36,50,0.72,422,3,0,117.25,392,446,4,30,1,1,1,4,35,25,8,16,0.5,2,2,1.0,1934,20,100,0,26,34,0.7647058823529411,465,5,0,157.475,456,556,1,9,1,0,0,2,15,25,1,6,0.167,0,1,0.0,1666,0
23,99,2,29,41,0.7073170731707317,337,3,1,109.502,308,407,3,29,0,0,1,6,55,30,7,12,0.583,2,2,1.0,1838,24,92,1,29,39,0.7435897435897436,419,3,0,134.455,403,495,3,16,0,0,0,10,95,25,11,15,0.733,0,1,0.0,1762,1
16,58,0,16,33,0.48484848484848486,151,0,2,36.301,87,145,7,64,1,1,3,3,20,11,3,16,0.188,0,0,0.0,1523,32,141,1,22,40,0.55,298,1,1,76.875,282,423,2,16,3,1,2,5,60,22,11,19,0.579,0,1,0.0,2077,0
31,139,0,19,26,0.7307692307692307,354,6,0,154.647,344,483,1,10,0,0,0,4,38,28,4,8,0.5,0,0,0.0,1686,18,60,0,25,38,0.6578947368421053,271,1,3,62.5,251,311,4,20,1,0,3,11,99,16,3,12,0.25,2,2,1.0,1914,1
17,41,0,40,62,0.6451612903225806,464,4,0,108.535,437,478,4,27,3,2,2,10,85,28,10,17,0.588,0,1,0.0,1796,35,119,1,29,42,0.6904761904761905,375,2,1,102.778,347,466,7,28,0,0,1,10,54,30,8,16,0.5,1,1,1.0,2404,0
20,96,1,24,30,0.8,307,2,0,131.528,286,382,3,21,0,0,0,8,58,18,6,11,0.545,0,0,0.0,1795,35,183,0,17,27,0.6296296296296297,255,2,0,118.596,231,414,3,24,2,0,0,2,20,26,5,12,0.417,1,1,1.0,1805,0
34,126,1,29,38,0.7631578947368421,388,2,1,114.803,377,503,2,11,4,2,3,9,89,23,6,15,0.4,1,1,1.0,2255,14,34,0,17,34,0.5,167,1,0,74.02,144,178,3,23,0,0,0,6,43,10,3,13,0.231,0,1,0.0,1345,1
40,175,2,23,35,0.6571428571428571,274,3,2,94.226,274,449,0,0,0,0,2,6,57,26,10,15,0.667,0,0,0.0,2182,18,56,0,15,25,0.6,135,1,1,71.25,116,172,2,19,1,1,2,10,89,11,3,11,0.273,1,1,1.0,1418,1
22,117,0,33,50,0.66,348,2,0,99.417,315,432,4,33,3,1,1,8,77,25,5,15,0.333,0,0,0.0,2065,22,70,1,30,43,0.6976744186046512,344,2,1,99.37,327,397,3,17,1,0,1,4,30,22,5,16,0.312,3,3,1.0,2130,0
31,208,3,21,41,0.5121951219512195,295,2,2,70.681,279,487,2,16,3,2,4,8,55,21,5,15,0.333,1,1,1.0,1883,29,139,0,35,58,0.603448275862069,437,4,2,92.385,426,565,3,11,0,0,2,6,65,27,5,16,0.312,0,1,0.0,2211,0
34,171,2,19,26,0.7307692307692307,172,0,0,90.545,160,331,2,12,3,0,0,8,57,19,0,10,0.0,1,2,0.5,1906,28,92,1,15,27,0.5555555555555556,180,1,0,88.503,171,263,1,9,2,1,1,5,38,18,5,12,0.417,0,0,0.0,1694,1
